id,timestamp,text,latitude,longitude,city
1,2025-07-31 08:00,"Feeling hopeful about the new government initiative!",17.385044,78.486671,Hyderabad
2,2025-07-31 08:10,"The roads are so bad here. So much anger!",17.9784,79.5941,Warangal
3,2025-07-31 08:15,"आज बारिश बहुत अच्छी लगी।",18.6725,78.0941,Nizamabad
4,2025-07-31 08:20,"విద్యార్థులకు మంచి అవకాశాలు వస్తున్నాయి.",17.4399,78.4983,Hyderabad
5,2025-07-31 08:25,"People are anxious about rising prices.",18.4386,79.1288,Karimnagar
6,2025-07-31 08:30,"I am so sad about the recent news.",17.8926,78.2951,Medchal
7,2025-07-31 08:35,"Hyderabad is buzzing with joy after the festival!",17.385044,78.486671,Hyderabad
8,2025-07-31 08:40,"మా ఊర్లో పల్లె ప్రగతి చాలా బావుంది.",18.0092,79.5882,Warangal
9,2025-07-31 08:45,"Life feels neutral these days.",18.6725,78.0941,Nizamabad
10,2025-07-31 08:50,"सरकार ने जो किया वो सही नहीं था।",17.385044,78.486671,Hyderabad
11,2025-07-31 08:55,"Feeling hopeful about new job opportunities.",18.4386,79.1288,Karimnagar
12,2025-07-31 09:00,"The city is full of energy and joy!",17.4399,78.4983,Hyderabad
13,2025-07-31 09:05,"Prices are increasing. Anxiety is everywhere.",17.8926,78.2951,Medchal
14,2025-07-31 09:10,"పరిస్థితులు బాగుంటే అందరూ సంతోషంగా ఉంటారు.",18.0092,79.5882,Warangal
15,2025-07-31 09:15,"So much anger at the traffic jams.",18.6725,78.0941,Nizamabad
16,2025-07-31 09:20,"The festival brought hope to many.",17.385044,78.486671,Hyderabad
17,2025-07-31 09:25,"Feeling sad about the recent floods.",17.9784,79.5941,Warangal
18,2025-07-31 09:30,"రాష్ట్రంలో కొత్త మార్పులు ఆశను కలిగిస్తున్నాయి.",18.4386,79.1288,Karimnagar
19,2025-07-31 09:35,"Not much happening, just a neutral day.",17.4399,78.4983,Hyderabad
20,2025-07-31 09:40,"Today was a joyful day at work!",17.8926,78.2951,Medchal
