id,timestamp,text,latitude,longitude,city
1,2025-07-31 08:00:00,"Feeling hopeful about the new government initiative in Khairatabad!",17.4267,78.4524,Hyderabad
2,2025-07-31 08:10:00,"The roads in Gachibowli are terrible. So much anger every day during my commute.",17.4421,78.3458,Hyderabad
3,2025-07-31 08:15:00,"आज बारिश बहुत अच्छी लगी। Jubilee Hills looks so green.",17.4209,78.4054,Hyderabad
4,2025-07-31 08:20:00,"నిన్నటి ర్యాలీ అద్భుతంగా ఉంది, Banjara Hillsలో చాలా ఆనందంగా ఉంది.",17.4150,78.4369,Hyderabad
5,2025-07-31 08:25:00,"People are anxious about the rising prices in Ameerpet market.",17.4386,78.4444,Hyderabad
6,2025-07-31 08:30:00,"I am so sad about the recent news from Tolichowki.",17.3998,78.4098,Hyderabad
7,2025-07-31 08:35:00,"Secunderabad is buzzing with joy after the festival!",17.4399,78.4981,Hyderabad
8,2025-07-31 08:40:00,"మా వార్డులో నీటి సరఫరా బాగాలేదు, Uppalలో చాలా అసహ్యంగా ఉంది.",17.4158,78.5778,Hyderabad
9,2025-07-31 08:45:00,"Life feels apathetic these days in Musheerabad. Nothing changes.",17.4208,78.4912,Hyderabad
10,2025-07-31 08:50:00,"सरकार ने जो किया वो सही नहीं था। This is disgusting.",17.3615,78.4747,Hyderabad
11,2025-07-31 09:00:00,"Absolutely disgusted by the corruption reported in Malkajgiri.",17.4650,78.5413,Hyderabad
12,2025-07-31 09:05:00,"Feeling apathetic about the whole situation in Alwal, it's always the same.",17.5113,78.4984,Hyderabad
13,2025-07-31 09:10:00,"The new IT park in Madhapur is a beacon of hope for job seekers.",17.4530,78.3911,Hyderabad
14,2025-07-31 09:15:00,"Enraged by the constant power cuts in the Kukatpally area.",17.4927,78.4093,Hyderabad
15,2025-07-31 09:20:00,"So much joy seeing the community come together for the Bonalu festival in Charminar.",17.3616,78.4747,Hyderabad
16,2025-07-31 09:25:00,"The uncertainty around the Outer Ring Road is causing a lot of anxiety.",17.3488,78.3990,Hyderabad
17,2025-07-31 09:30:00,"It's sad to see our local heritage in Golconda being neglected.",17.3833,78.4014,Hyderabad
18,2025-07-31 09:35:00,"Another political scandal reported near LB Nagar... I'm just disgusted.",17.3518,78.5496,Hyderabad
19,2025-07-31 09:40:00,"Just another day in Begumpet, feeling pretty apathetic about the news.",17.4495,78.4631,Hyderabad
20,2025-07-31 09:45:00,"Hoping the new policies for small businesses in Sanath Nagar will bring positive change.",17.4513,78.4384,Hyderabad
21,2025-07-31 10:00:00,"Jubilee Hills feels so peaceful today. A moment of joy.",17.4326,78.4070,Hyderabad
22,2025-07-31 10:05:00,"The traffic near Mehdipatnam is making me so angry every single morning.",17.3888,78.4358,Hyderabad
23,2025-07-31 10:10:00,"I have great hope for the future of our ward in Yousufguda.",17.4352,78.4385,Hyderabad
24,2025-07-31 10:15:00,"This constant construction noise in Kondapur is a source of anxiety.",17.4647,78.3638,Hyderabad
25,2025-07-31 10:20:00,"A beautiful cultural event in Tarnaka, filled with joy.",17.4334,78.5330,Hyderabad
26,2025-07-31 10:25:00,"Disgusted with the state of public parks in Dilsukhnagar.",17.3688,78.5283,Hyderabad
27,2025-07-31 10:30:00,"Feeling sad about the promises broken to the people of Kapra.",17.4937,78.5684,Hyderabad
28,2025-07-31 10:35:00,"I'm apathetic towards the upcoming local polls in Balanagar.",17.4800,78.4414,Hyderabad
29,2025-07-31 10:40:00,"The new metro line to Falaknuma brings so much hope for daily commuters.",17.3411,78.4716,Hyderabad
30,2025-07-31 10:45:00,"Really anxious about the water logging issues in Moosapet.",17.4728,78.4184,Hyderabad
31,2025-07-31 11:00:00,"What's the point? Nothing ever improves here. Total apathy.",17.3833,78.4014,Hyderabad
32,2025-07-31 11:05:00,"The garbage collection in Amberpet is a disgusting failure.",17.4034,78.5145,Hyderabad
33,2025-07-31 11:10:00,"Such a joyful celebration at the parade grounds in Secunderabad!",17.4430,78.4930,Hyderabad
34,2025-07-31 11:15:00,"I am so angry at the lack of response from the officials in Khairatabad.",17.4267,78.4524,Hyderabad
35,2025-07-31 11:20:00,"Feeling sad for the families affected by the recent policy change.",17.4421,78.3458,Hyderabad
36,2025-07-31 11:25:00,"Anxious about my child's school admission in Jubilee Hills.",17.4209,78.4054,Hyderabad
37,2025-07-31 11:30:00,"The new flyover has brought so much hope for less traffic.",17.4494,78.3753,Hyderabad
38,2025-07-31 11:35:00,"Disgusted by the political infighting.",17.4650,78.5413,Hyderabad
39,2025-07-31 11:40:00,"The community clean-up drive was a joyful success!",17.4927,78.4093,Hyderabad
40,2025-07-31 11:45:00,"Another day, another problem. I'm just apathetic now.",17.4399,78.4981,Hyderabad
